NOP,515614,1,80,0,72,64,0,0
NOP,515615,0,217,0,0,225,353,236
NOP,515615,1,96,84,72,64,0,69
NOP,515615,0,325,93,0,217,353,244
NOP,515616,1,119,0,66,70,0,94
NOP,515617,0,291,68,0,217,354,249
NOP,515621,1,62,0,0,78,0,63
NOP,515633,0,80,56,0,209,356,249
NOP,515864,1,111,0,0,0,0,0
NOP,515864,0,61,94,0,204,359,243
NOP,515865,1,100,72,62,0,0,62
NOP,515865,0,67,124,0,204,361,242
NOP,515866,1,97,83,50,0,0,0
NOP,515867,0,100,214,0,204,361,242
NOP,516004,1,78,97,0,0,0,0
NOP,516004,0,152,220,0,204,361,243
NOP,516005,1,112,0,52,0,0,0
NOP,516005,0,0,220,0,204,361,242
NOP,516006,2,182,0,0,0,0,55
NOP,516007,2,184,0,55,0,0,0
NOP,516009,2,157,69,0,0,0,0
NOP,516012,2,171,66,54,0,0,56
NOP,516015,2,171,52,54,0,0,65
NOP,516017,2,166,71,0,0,0,0
NOP,516020,2,167,0,0,0,0,0
NOP,516022,2,157,0,0,0,0,0
NOP,516024,2,161,73,0,0,0,71
NOP,516027,2,153,64,0,0,0,59
NOP,516030,2,167,0,79,0,0,0
NOP,516035,1,93,85,0,0,0,75
NOP,516035,2,152,0,0,0,0,0
NOP,516114,0,0,222,0,204,361,243
NOP,516115,1,73,50,0,72,0,0
NOP,516115,2,171,68,0,0,0,0
NOP,516366,0,0,189,0,204,361,245
NOP,516366,1,111,54,71,80,0,0
NOP,516367,2,157,60,0,0,0,59
NOP,516367,0,85,275,0,205,361,248
NOP,516367,1,84,113,71,0,0,0
NOP,516369,2,154,0,0,0,0,0
NOP,516371,0,179,304,0,205,361,249
NOP,516374,1,53,111,53,0,0,55
NOP,516377,0,71,289,0,205,362,248
NOP,516381,1,90,0,57,53,0,0
NOP,516614,0,0,251,0,203,368,248
NOP,516615,1,96,71,0,53,0,0
NOP,516615,0,0,160,0,203,369,241
NOP,516615,1,53,55,56,57,0,0
NOP,516616,0,65,176,0,205,369,242
NOP,516617,1,85,0,74,72,0,0
NOP,516672,2,173,0,62,0,0,0
NOP,516673,2,165,71,0,0,52,0
NOP,516673,2,162,51,0,0,52,56
NOP,516673,2,159,0,0,0,52,0
NOP,516674,2,168,67,0,0,0,0
NOP,516674,0,121,189,0,203,346,244
NOP,516677,2,170,0,0,0,0,0
NOP,516683,1,95,96,52,64,0,50
NOP,516864,0,0,128,0,203,313,244
NOP,516864,2,167,77,0,0,0,60
NOP,516865,1,77,0,66,0,0,52
NOP,516865,0,0,64,0,203,290,233
NOP,516866,1,92,0,64,0,0,58
NOP,516867,0,0,0,0,203,287,234
NOP,517114,1,100,72,0,0,0,0
NOP,517114,0,50,71,0,203,295,220
NOP,517115,1,79,65,65,0,0,0
NOP,517115,0,151,135,0,186,310,225
NOP,517116,1,82,71,64,66,0,74
NOP,517117,0,98,67,0,162,312,228
NOP,517120,1,94,140,59,66,0,68
NOP,517127,0,0,66,0,112,315,230
NOP,517364,1,86,0,0,88,0,60
NOP,517364,0,0,0,0,75,303,238
NOP,517365,1,76,0,0,0,0,60
NOP,517365,0,54,0,79,75,252,255
NOP,517366,1,106,53,0,0,0,0
NOP,517366,0,134,134,145,106,216,305
NOP,517614,1,89,55,68,0,0,0
