867214,0,9065,3814,326,231,363,408,142,97,142,200,647,1313,1095,419,104,264,23
867214,1,15603,6691,142,339,267,47,190,179,103,214,317,1106,1030,204,111,109,65523
867214,2,14535,6098,87,61,123,47,158,253,265,129,23,63,10,47,46,86,25
867214,3,10221,4351,136,122,334,311,136,67,27,37,56,71,39,31,39,6,38
867214,4,137,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867214,5,684,295,5,3,5,3,2,4,3,5,2,2,2,3,3,4,65534
867214,6,819,345,2,13,18,24,17,17,10,0,8,6,11,8,11,10,10
867214,7,15219,6344,96,403,1187,1436,518,38,417,937,880,358,432,1086,274,446,65525
869803,0,9770,4485,371,227,111,209,223,331,90,246,402,1235,379,242,115,240,92
869803,1,15665,6671,130,196,108,274,286,279,341,271,219,822,290,109,176,39,97
869803,2,14917,6741,336,153,95,45,56,108,89,32,51,54,80,100,94,68,65530
869803,3,10291,4378,108,189,206,1,66,99,93,116,63,40,83,93,77,64,65515
869803,4,23,21,15,9,7,6,4,3,3,3,2,2,2,1,1,2,65535
869803,5,737,314,15,19,22,26,3,8,8,5,7,5,11,9,16,12,4
869803,6,792,343,32,30,29,16,15,9,16,20,14,10,4,2,6,11,65529
869803,7,16322,7120,197,135,558,743,232,219,336,613,365,327,701,764,321,445,177
872404,0,9247,4094,409,110,222,139,126,227,206,107,321,1266,824,277,165,322,52
872404,1,16037,6862,134,130,88,261,307,82,135,63,462,955,642,239,129,158,65262
872404,2,14568,6351,119,246,280,129,72,54,149,43,82,147,105,54,89,32,65498
872404,3,10019,4331,44,307,188,94,133,56,88,11,74,57,14,18,39,40,65533
872404,4,128,65,7,5,3,2,2,2,2,1,1,1,1,1,1,0,0
872404,5,711,299,5,2,6,18,17,14,9,7,9,11,3,10,10,8,1
872404,6,841,362,8,20,22,14,13,15,9,10,10,3,12,4,6,5,13
872404,7,15979,6446,510,96,840,1098,262,117,305,710,621,330,833,1403,860,512,65497
874975,0,8987,3782,83,137,107,65,89,156,129,63,557,1377,419,140,168,244,30
874975,1,15232,6476,183,266,243,97,103,8,110,199,706,1270,718,91,169,234,65403
874975,2,14591,6157,218,287,232,175,206,182,214,109,84,128,69,24,69,24,0
874975,3,10188,4232,291,323,101,34,157,177,193,83,16,92,113,140,134,77,65511
874975,4,29,25,16,10,8,6,4,4,3,3,3,2,2,2,1,2,2
874975,5,659,283,39,21,20,11,10,12,11,6,2,5,1,5,7,3,65535
874975,6,789,338,21,11,12,12,10,14,16,9,11,7,14,10,9,17,0
874975,7,15575,6575,244,271,402,626,107,187,270,577,385,234,851,1669,1066,201,65507
877577,0,9575,4145,317,170,102,59,30,58,248,388,214,973,534,119,214,329,65268
877577,1,16140,7144,410,117,196,338,251,164,56,240,556,1128,629,144,127,39,77
877577,2,14326,5928,126,147,112,92,120,211,192,89,49,67,42,59,61,56,65504
877577,3,10685,4785,295,106,52,22,94,157,219,126,71,95,61,16,58,7,65499
877577,4,137,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877577,5,656,274,52,45,25,14,19,22,7,3,4,8,7,9,7,9,7
877577,6,824,338,37,8,23,20,12,11,13,31,9,28,22,17,6,18,65517
877577,7,17148,7687,160,249,399,698,393,318,321,395,576,328,107,952,590,179,65306
