idle,19049,0,0,2.53,4613,2038,307,1056,763,208,719,723,207,97,95,76,48,25,17,18,11
idle,19049,0,1,2.45,3480,1797,663,1244,870,54,461,538,84,223,260,111,67,105,98,43,25
idle,19049,0,2,22.06,383,178,39,38,36,34,31,29,26,23,19,16,13,10,7,4,2
idle,19049,0,3,1.51,45,12,24,7,14,3,8,7,4,7,2,5,3,2,4,1,4
idle,19049,0,4,1.34,1787,517,579,338,34,157,25,110,66,130,79,40,105,162,15,218,49
idle,19049,0,5,11.85,1431,699,467,268,73,179,150,14,52,85,101,61,48,91,158,310,184
idle,19049,1,0,3.71,4899,1995,267,146,207,265,43,112,191,173,144,58,3,9,50,69,18
idle,19049,1,1,2.86,4083,1746,154,338,361,217,337,208,20,196,253,113,59,81,43,27,35
idle,19049,1,2,3.40,3957,1735,12,13,15,14,12,12,11,9,7,7,7,5,4,4,3
idle,19049,1,3,2.33,5357,2408,68,196,45,179,58,150,77,111,87,65,86,39,76,32,68
idle,19049,1,4,2.41,2716,1161,68,159,89,38,11,14,19,6,16,30,19,16,11,3,1
idle,19049,1,5,2.06,3768,1519,360,379,242,368,200,241,259,119,97,53,118,45,32,27,44
idle,19049,2,0,3.22,1797,874,221,173,262,200,49,169,136,25,26,135,223,66,64,77,119
idle,19049,2,1,3.04,3493,1572,281,357,471,270,62,126,308,325,133,388,449,151,19,38,35
idle,19049,2,2,5.56,6072,2461,253,128,68,41,51,65,54,11,35,31,34,22,5,11,29
idle,19049,2,3,10.38,283,114,6,4,2,1,1,1,1,1,1,1,1,1,1,1,0
idle,19049,2,4,6.21,3488,1530,72,36,90,86,125,207,236,189,186,190,121,46,12,28,49
idle,19049,2,5,3.31,3498,1521,78,147,562,390,28,113,216,146,82,26,82,160,303,191,29
idle,20362,0,0,2.88,4089,1606,133,522,625,81,277,509,152,31,95,91,208,160,108,118,91
idle,20362,0,1,2.90,4031,1786,402,789,947,258,427,688,241,144,208,73,84,91,49,27,23
idle,20362,0,2,4.77,377,172,23,15,4,6,11,7,7,4,2,3,4,2,1,1,0
idle,20362,0,3,2.99,310,123,6,9,12,5,6,9,5,4,7,4,4,6,3,3,5
idle,20362,0,4,2.27,2342,1142,415,607,304,188,72,74,18,97,64,66,79,134,140,279,232
idle,20362,0,5,11.99,1679,722,303,243,74,115,121,139,116,72,84,61,44,50,105,349,260
idle,20362,1,0,3.71,4771,2147,81,115,297,353,139,194,294,209,166,121,62,63,72,62,50
idle,20362,1,1,2.32,3779,1427,237,379,205,76,227,206,48,131,131,18,12,61,58,10,38
idle,20362,1,2,2.35,4253,1833,20,34,20,19,19,11,6,21,12,10,9,14,6,9,5
idle,20362,1,3,3.86,4462,1843,139,232,207,292,167,213,168,116,173,88,122,88,55,74,53
idle,20362,1,4,4.06,2572,1115,183,129,32,79,55,67,35,46,8,36,15,29,29,21,25
idle,20362,1,5,2.13,3591,1508,474,622,56,415,144,280,242,48,166,119,104,121,16,18,30
idle,20362,2,0,7.30,1976,678,456,145,158,171,135,216,115,258,217,40,121,91,45,120,195
idle,20362,2,1,3.08,3092,1378,173,362,529,297,118,306,443,168,80,294,110,96,31,75,95
idle,20362,2,2,5.22,5958,2675,300,228,108,58,75,79,48,25,4,29,30,27,10,17,20
idle,20362,2,3,14.23,276,116,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
idle,20362,2,4,5.27,3242,1278,199,131,67,70,209,237,119,109,164,147,59,32,30,43,37
idle,20362,2,5,3.05,3939,1824,174,416,659,251,98,174,195,144,129,111,57,81,248,93,30
idle,21611,0,0,2.43,4532,1818,609,1357,841,147,446,523,108,91,39,116,71,40,16,51,35
idle,21611,0,1,2.77,3457,1014,569,804,818,125,432,613,207,80,232,125,29,52,64,50,93
idle,21611,0,2,4.10,659,245,164,141,15,83,55,27,18,61,61,30,56,37,18,30,13
idle,21611,0,3,3.02,304,139,10,6,9,4,3,7,3,3,6,3,3,5,2,3,4
idle,21611,0,4,3.74,1878,1006,448,193,189,225,116,112,136,67,83,91,81,112,43,162,65
idle,21611,0,5,11.88,1414,588,299,284,95,38,85,42,52,81,58,65,60,30,121,249,161
idle,21611,1,0,3.90,4678,1900,155,137,247,521,191,175,164,31,57,98,83,81,34,46,73
idle,21611,1,1,2.53,4309,1886,214,355,299,199,140,210,69,131,154,65,31,90,73,31,79
idle,21611,1,2,3.25,4496,1868,61,12,35,21,14,17,10,8,14,4,7,9,5,7,7
idle,21611,1,3,3.47,5008,2066,253,51,207,190,67,177,54,140,107,71,105,45,71,62,53
idle,21611,1,4,5.73,2968,1284,239,127,63,6,45,96,81,59,29,8,14,18,18,10,7
idle,21611,1,5,3.91,3693,1347,574,290,293,522,260,267,219,186,140,85,112,68,36,8,16
idle,21611,2,0,9.07,1926,884,465,260,115,123,127,131,101,124,170,260,265,67,16,46,154
idle,21611,2,1,3.24,3303,1356,95,200,676,370,132,319,629,344,16,303,253,152,12,22,87
idle,21611,2,2,3.06,5239,2147,71,177,332,81,78,68,252,74,90,13,144,96,47,7,100
idle,21611,2,3,3.65,299,122,2,11,21,23,13,4,4,6,7,4,1,2,7,5,3
idle,21611,2,4,6.12,3540,1469,327,209,18,81,16,159,203,83,166,121,46,115,30,36,41
idle,21611,2,5,3.14,3527,1671,130,199,378,192,67,124,133,104,223,128,64,103,251,130,11
idle,22911,0,0,2.84,4444,1798,25,765,857,134,377,658,174,212,205,119,137,60,21,44,30
idle,22911,0,1,2.54,3587,1578,380,1121,841,124,542,701,212,82,194,34,21,39,39,41,57
idle,22911,0,2,3.15,452,154,60,25,63,26,49,27,41,18,30,18,16,12,9,8,1
idle,22911,0,3,6.08,308,179,68,46,37,30,31,36,37,32,30,28,26,28,27,25,23
idle,22911,0,4,1.63,1516,446,639,493,134,206,28,19,63,17,79,80,70,163,35,218,110
idle,22911,0,5,11.80,1576,819,466,292,80,101,159,55,46,48,95,166,159,93,173,316,168
idle,22911,1,0,3.40,5031,2209,84,138,406,346,24,108,237,114,32,63,118,83,26,32,91
idle,22911,1,1,3.74,4461,2025,96,61,178,200,134,145,101,24,77,98,92,45,35,17,16
idle,22911,1,2,6.97,4595,1891,136,102,75,59,40,21,28,32,25,22,21,10,11,17,12
idle,22911,1,3,3.69,4832,2113,177,22,133,168,17,143,108,19,114,56,46,67,20,46,46
idle,22911,1,4,4.52,2601,863,281,150,50,72,81,51,25,21,42,28,14,12,28,19,9
idle,22911,1,5,2.18,3778,1539,408,617,63,492,170,242,93,178,138,54,104,55,61,52,15
idle,22911,2,0,9.49,2082,1056,222,139,184,266,242,67,57,215,288,155,292,182,32,94,44
idle,22911,2,1,3.09,3963,1786,151,594,1013,436,154,355,536,374,134,353,255,146,24,78,178
idle,22911,2,2,2.74,5728,2583,285,386,383,211,112,133,136,62,51,21,70,51,5,60,58
idle,22911,2,3,4.18,255,93,19,14,5,9,8,1,4,5,2,0,3,3,1,1,3
idle,22911,2,4,2.93,3617,1534,91,203,249,87,46,175,173,110,174,167,103,50,23,44,53
idle,22911,2,5,3.14,4161,1795,226,325,575,312,163,195,219,107,101,68,25,144,173,47,18
idle,24287,0,0,2.67,4799,2199,210,1261,1140,290,514,807,154,150,239,70,38,47,30,40,45
idle,24287,0,1,2.53,4451,2194,545,1511,1124,335,529,677,188,171,252,65,100,63,53,23,12
idle,24287,0,2,3.86,406,178,3,2,3,5,2,4,0,2,2,3,2,2,1,1,1
idle,24287,0,3,7.16,286,167,110,98,87,79,75,72,68,70,69,65,63,57,53,49,45
idle,24287,0,4,4.28,1980,752,539,491,80,264,252,59,102,37,90,67,177,109,78,257,89
idle,24287,0,5,11.88,1588,604,416,194,110,97,39,90,84,46,18,61,42,107,42,328,130
idle,24287,1,0,3.62,4868,2100,90,180,402,442,76,190,189,78,15,58,80,66,26,29,12
idle,24287,1,1,4.12,4480,2000,69,202,124,250,203,112,110,77,129,124,77,98,87,77,107
idle,24287,1,2,3.83,4162,1764,326,176,112,120,107,70,66,66,53,44,42,40,29,22,24
idle,24287,1,3,3.92,4432,1854,211,198,131,269,118,213,182,93,186,59,101,87,25,70,29
idle,24287,1,4,4.68,2704,1180,90,35,26,17,33,13,20,14,13,11,2,8,3,8,5
idle,24287,1,5,2.05,3972,1687,520,560,234,542,319,410,192,129,148,142,152,83,18,29,29
idle,24287,2,0,3.82,2257,1134,377,308,192,257,134,150,126,54,29,101,243,126,18,54,79
idle,24287,2,1,2.94,3728,1640,229,618,751,301,105,328,501,289,131,248,343,146,13,64,142
idle,24287,2,2,3.14,5684,2636,206,258,522,245,61,180,370,205,30,81,257,159,39,38,116
idle,24287,2,3,2.96,257,117,11,4,5,3,2,3,1,2,1,1,1,1,0,1,1
idle,24287,2,4,8.50,3612,1485,254,193,73,135,121,151,63,48,152,199,89,78,34,18,49
idle,24287,2,5,3.10,3929,1791,104,245,449,191,41,80,85,114,87,91,96,176,298,144,39
idle,25636,0,0,2.57,4358,1793,251,1256,936,98,553,773,214,176,114,67,25,86,84,62,12
idle,25636,0,1,2.73,3209,1166,230,783,768,166,424,696,280,34,217,141,77,33,30,57,40
idle,25636,0,2,7.62,462,217,91,67,40,33,16,5,8,18,19,14,12,5,4,5,9
idle,25636,0,3,2.87,318,155,49,65,69,47,41,58,57,40,41,49,42,35,38,36,30
idle,25636,0,4,7.04,1646,845,381,139,57,108,65,80,140,149,137,91,86,125,90,144,76
idle,25636,0,5,11.92,1578,601,346,148,158,116,119,59,141,127,22,93,58,36,103,310,192
idle,25636,1,0,3.84,4815,2163,143,145,175,324,83,78,112,61,59,86,64,36,22,47,69
idle,25636,1,1,3.96,4346,1932,26,280,190,358,211,112,139,149,86,23,54,42,27,28,23
idle,25636,1,2,3.88,4421,2038,263,121,120,147,111,77,100,92,59,60,63,43,36,41,29
idle,25636,1,3,3.92,4842,2207,225,242,135,244,128,166,146,95,110,62,66,45,32,40,21
idle,25636,1,4,2.60,2557,1122,47,145,121,39,20,26,10,25,14,32,12,14,10,12,12
idle,25636,1,5,3.90,3807,1664,478,321,291,513,240,280,201,120,167,90,121,98,4,16,16
idle,25636,2,0,4.67,1722,648,255,82,28,156,256,120,75,173,187,200,209,71,77,86,160
idle,25636,2,1,3.26,4137,1885,174,318,928,579,104,116,392,336,240,469,440,87,30,93,119
idle,25636,2,2,6.14,5644,2529,96,58,14,46,53,57,70,39,51,51,61,52,48,57,54
idle,25636,2,3,3.38,315,115,27,6,13,11,7,13,6,5,6,4,6,8,6,7,5
idle,25636,2,4,5.93,3789,1709,23,184,198,174,172,275,279,162,222,169,61,49,54,28,21
idle,25636,2,5,3.23,3646,1519,145,236,476,318,36,175,376,321,173,24,166,269,293,121,23
idle,26955,0,0,2.62,4815,2202,147,1332,1088,193,641,889,232,122,337,240,158,29,34,27,21
idle,26955,0,1,2.67,3746,1601,238,1043,945,298,514,756,249,85,109,72,26,65,54,12,52
idle,26955,0,2,3.05,474,184,48,36,55,24,26,38,40,15,15,20,15,1,3,6,8
idle,26955,0,3,5.20,323,178,84,69,60,55,53,53,48,46,41,41,41,42,41,38,35
idle,26955,0,4,2.06,2315,1196,657,708,333,154,61,30,71,133,124,7,107,124,187,386,174
idle,26955,0,5,11.75,1749,1004,643,485,279,156,166,105,112,81,116,146,120,56,172,306,120
idle,26955,1,0,3.72,4974,2064,115,231,263,331,96,45,190,232,121,38,63,26,7,52,74
idle,26955,1,1,2.67,4391,1992,297,338,333,209,242,236,172,186,128,63,72,33,80,73,16
idle,26955,1,2,3.85,4489,2219,409,187,113,128,104,40,54,66,54,44,46,41,29,27,28
idle,26955,1,3,3.76,4531,1831,355,191,202,220,172,186,172,137,129,117,81,71,68,52,48
idle,26955,1,4,5.23,2681,1156,153,62,19,19,45,46,36,7,4,8,9,14,9,12,13
idle,26955,1,5,1.99,3814,1704,627,636,264,494,193,266,170,88,152,23,49,61,65,84,69
idle,26955,2,0,3.42,2039,800,53,146,250,230,180,132,147,26,112,104,204,77,49,64,185
idle,26955,2,1,9.29,3382,1340,172,155,413,193,48,71,354,376,142,290,426,110,77,10,56
idle,26955,2,2,3.07,5664,2357,289,161,202,139,75,52,134,46,107,63,59,44,83,27,58
idle,26955,2,3,4.43,268,119,8,6,2,2,2,1,2,1,0,1,1,0,1,1,0
idle,26955,2,4,3.83,3344,1315,222,139,161,252,95,52,42,102,51,82,22,64,48,16,8
idle,26955,2,5,3.21,3967,1850,165,194,461,270,162,161,234,85,43,98,38,26,174,166,96
idle,28236,0,0,2.58,5034,2226,413,1336,1077,250,838,859,156,91,155,62,81,56,49,75,55
idle,28236,0,1,2.56,4132,1706,163,1316,922,91,733,971,385,176,238,172,39,32,51,49,9
idle,28236,0,2,2.58,405,188,15,20,19,16,19,12,12,14,8,7,8,4,2,2,2
idle,28236,0,3,3.95,215,82,4,0,3,4,3,1,2,3,3,1,1,2,2,1,1
idle,28236,0,4,11.77,1651,495,464,277,126,201,204,90,89,143,82,102,118,89,88,226,51
idle,28236,0,5,11.87,1298,530,457,352,124,114,161,102,145,114,98,114,22,59,54,226,96
idle,28236,1,0,6.23,4929,2201,109,163,257,262,10,167,283,120,50,82,73,40,13,91,112
